ログID,変更日時,対象ID,対象タイトル,操作,フィールド,変更前,変更後
log001,2026-06-01 09:00,s001,基幹システム更新 部門長説明会,新規追加,,,
log002,2026-06-01 09:05,s002,移行リハーサル,新規追加,,,
log003,2026-06-02 10:00,s003,北都サービス 要件ヒアリング,新規追加,,,
log004,2026-06-05 14:00,s004,セキュリティ診断レポート提出,新規追加,,,
log005,2026-06-08 09:00,s005,予約サイト改修 開発着手,新規追加,,,
log006,2026-06-10 11:30,s001,基幹システム更新 部門長説明会,編集,場所,(空),会議室A
log007,2026-06-10 16:00,s006,全体進捗会議,新規追加,,,
log008,2026-06-17 11:15,s004,セキュリティ診断レポート提出,編集,状態,対応中,完了
log1781532121894_15,2026-06-15 23:02,s1781532121894_14,一般会計予算択別委員会,新規追加,,,
log1781532146132_16,2026-06-15 23:02,s003,北都サービス 要件ヒアリング,編集,状態,対応中,完了
