"#META","","3","city","○○市","printSel","[]"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻"
"R0001","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","防災・減災対策について","","","","","","","","","","",""
"R0002","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","防災・減災対策の現状と今後の方針について","","","","","","","","","",""
"R0003","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","","防災・減災対策の現状と課題をどのように認識しているか、市の見解を伺う。","現状認識を問う","","","","","総務部","議会事務局 佐藤","3","2026/08/20 09:00"
"R0004","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","DX(デジタル・トランスフォーメーション)について","","","","","","","","","","",""
"R0005","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","DX(デジタル・トランスフォーメーション)に係る予算措置について","","","","","","","","","",""
"R0006","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","","DX(デジタル・トランスフォーメーション)について、今後の具体的な取組内容とスケジュールを示されたい。","今後の対応方針を問う","市民への周知方法を問う","","","","企画政策部","議会事務局 田中","6","2026/08/20 09:00"
"R0007","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","","DX(デジタル・トランスフォーメーション)の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","現状認識を問う","","","財政部","議会事務局 鈴木","7","2026/08/20 09:00"
"R0008","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","DX(デジタル・トランスフォーメーション)における他自治体との連携について","","","","","","","","","",""
"R0009","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","","DX(デジタル・トランスフォーメーション)の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","他自治体の事例を踏まえた検討を求める","","","","","福祉部","議会事務局 高橋","9","2026/08/20 09:00"
"R0010","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","","DX(デジタル・トランスフォーメーション)について、関係部局との連携体制はどのようになっているか伺う。","市民への周知方法を問う","数値目標の有無を問う","","","","子ども未来部","議会事務局 伊藤","10","2026/08/20 09:00"
"R0011","1","佐藤 太郎","市民フォーラム","令和7年9月10日","10:00～10:20","","","DX(デジタル・トランスフォーメーション)の現状と課題をどのように認識しているか、市の見解を伺う。","関係部局との連携体制を問う","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","健康推進部","議会事務局 佐藤","11","2026/08/20 09:00"
"R0012","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","DX(デジタル・トランスフォーメーション)について","","","","","","","","","","",""
"R0013","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","DX(デジタル・トランスフォーメーション)における他自治体との連携について","","","","","","","","","",""
"R0014","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","DX(デジタル・トランスフォーメーション)に対する市民アンケート等の実施予定はあるか伺う。","スケジュールを明確にされたい","","","","","環境部","議会事務局 田中","14","2026/08/20 09:00"
"R0015","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","DX(デジタル・トランスフォーメーション)の現状と今後の方針について","","","","","","","","","",""
"R0016","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","DX(デジタル・トランスフォーメーション)の推進体制について","","","","","","","","","",""
"R0017","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","DX(デジタル・トランスフォーメーション)の現状と課題をどのように認識しているか、市の見解を伺う。","数値目標の有無を問う","予算措置の考え方を問う","","","","都市整備部","議会事務局 鈴木","17","2026/08/20 09:00"
"R0018","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","DX(デジタル・トランスフォーメーション)に係る令和8年度予算への反映方針を伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","建設部","議会事務局 高橋","18","2026/08/20 09:00"
"R0019","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","DX(デジタル・トランスフォーメーション)に関する市民への周知・広報の取組状況を伺う。","今後の対応方針を問う","","","","","産業観光部","議会事務局 伊藤","19","2026/08/20 09:00"
"R0020","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","教育環境について","","","","","","","","","","",""
"R0021","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","教育環境に係る予算措置について","","","","","","","","","",""
"R0022","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","教育環境の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","","","","教育委員会事務局","議会事務局 佐藤","22","2026/08/20 09:00"
"R0023","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","公共交通について","","","","","","","","","","",""
"R0024","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","公共交通の推進体制について","","","","","","","","","",""
"R0025","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","公共交通に関する市民への周知・広報の取組状況を伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","今後の対応方針を問う","","","防災危機管理部","議会事務局 田中","25","2026/08/20 09:00"
"R0026","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","公共交通に対する市民アンケート等の実施予定はあるか伺う。","市民への周知方法を問う","","","","","市民協働部","議会事務局 鈴木","26","2026/08/20 09:00"
"R0027","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","公共交通に関する市民周知について","","","","","","","","","",""
"R0028","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","公共交通に対する市民アンケート等の実施予定はあるか伺う。","関係部局との連携体制を問う","現状認識を問う","","","","上下水道局","議会事務局 高橋","28","2026/08/20 09:00"
"R0029","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","公共交通について、今後の具体的な取組内容とスケジュールを示されたい。","スケジュールを明確にされたい","今後の対応方針を問う","市民への周知方法を問う","","","総務部","議会事務局 伊藤","29","2026/08/20 09:00"
"R0030","2","鈴木 花子","公明党市議団","令和7年9月10日","10:20～10:40","","","公共交通の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","数値目標の有無を問う","","","","","企画政策部","議会事務局 佐藤","30","2026/08/20 09:00"
