"#META","7","2","city","〇〇市","start","2025-06-10","end","2025-06-13"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻","回答部","担当者名","本答弁原稿","再質問番号","再質問内容","再質問担当部署","回答番号","再質問答弁者","再質問答弁本文"
"R0702030100000000","3","〇〇 三郎","〇〇の会","2025-06-10","50","高齢化の進展に対応した地域包括ケアシステムの構築及び介護人材の確保について","","","","","","","","","〇〇課 〇〇","1","8/31 20:12","","","","","","","","",""
"R0702030101000000","3","〇〇 三郎","〇〇の会","2025-06-10","50","","介護人材の不足に対する市独自の支援策の実施状況について","","","","","","","","〇〇課 〇〇","2","8/31 20:12","","","","","","","","",""
"R0702030101010000","3","〇〇 三郎","〇〇の会","2025-06-10","50","","","介護職員初任者研修の受講費助成の実績と、市独自の処遇改善策の検討状況について問う","受講費助成の実績","市独自策の検討","","","","〇〇課","〇〇課 〇〇","3","8/31 20:12","〇〇部〇〇課","〇〇 〇〇","受講費助成は年間約80名が利用しており、着実に人材確保につながっています。市独自の処遇改善策については、他自治体の事例を調査のうえ検討してまいります。","","","","","",""
"R0702030101020000","3","〇〇 三郎","〇〇の会","2025-06-10","50","","","外国人介護人材の受入支援と生活面でのサポート体制について問う","日本語学習支援","住居確保支援","","","","〇〇課","〇〇課 〇〇","4","8/31 20:12","","","","","","","","",""
"R0702030102000000","3","〇〇 三郎","〇〇の会","2025-06-10","50","","認知症施策の推進と地域における見守り体制の強化について","","","","","","","","〇〇課 〇〇","5","8/31 20:12","","","","","","","","",""
"R0702030102010000","3","〇〇 三郎","〇〇の会","2025-06-10","50","","","認知症サポーター養成講座の実施状況と、養成後の活動の場の確保について問う","認知症サポーター養成の拡充","活動の場の確保","","","","〇〇課","〇〇課 〇〇","6","8/31 20:12","〇〇部〇〇課","〇〇 〇〇","認知症サポーターは累計約1万2千人を養成しており、地域の見守りネットワークへの登録を進めています。今後は企業向け講座を拡充し、活動の場の確保にも取り組みます。","","","","","",""
"R0702030102010100","3","〇〇 三郎","〇〇の会","2025-06-10","50","","","","","","","","","","","","8/31 20:12","","","","1","認知症サポーターの実際の活動実績と、見守りネットワークとの連携状況について再質問する。","〇〇部〇〇課","","",""
"R0702030102010101","3","〇〇 三郎","〇〇の会","2025-06-10","50","","","","","","","","","","","","8/31 20:12","","","","1","認知症サポーターの実際の活動実績と、見守りネットワークとの連携状況について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","見守りネットワーク登録者は約1,500名で、地域包括支援センターと連携した見守り訪問を月1回実施しています。"
"R0702030200000000","3","〇〇 三郎","〇〇の会","2025-06-10","50","介護保険サービスの利用促進と在宅医療・介護連携の推進について","","","","","","","","","〇〇課 〇〇","7","8/31 20:12","","","","","","","","",""
"R0702030201000000","3","〇〇 三郎","〇〇の会","2025-06-10","50","","在宅医療と介護の連携体制の構築状況について","","","","","","","","〇〇課 〇〇","8","8/31 20:12","","","","","","","","",""
"R0702030201010000","3","〇〇 三郎","〇〇の会","2025-06-10","50","","","多職種連携会議の開催実績と、在宅看取り体制の整備状況について問う","多職種連携会議の実施状況","在宅看取り体制の整備","","","","〇〇課","〇〇課 〇〇","9","8/31 20:12","〇〇部〇〇課","〇〇 〇〇","多職種連携会議は年4回開催し、医療・介護関係者約60名が参加しています。在宅看取りに対応できる訪問診療医の確保にも取り組んでいます。","","","","","",""
