"#META","7","2","city","〇〇市","start","","end",""
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻","回答部","担当者名","本答弁原稿","再質問番号","再質問内容","再質問担当部署","回答番号","再質問答弁者","再質問答弁本文"
"R0702010100000000","1","〇〇 一郎","〇〇会","2025-06-10","60","近年頻発する大規模地震及び激甚化する風水害に備えた、災害に強いまちづくりの推進について","","","","","","","","","","1","8/29 22:38","","","","","","","","",""
"R0702010101000000","1","〇〇 一郎","〇〇会","2025-06-10","60","","指定避難所及び福祉避難所における運営体制の現状と、要配慮者への支援のあり方について","","","","","","","","","2","8/29 22:38","","","","","","","","",""
"R0702010101010000","1","〇〇 一郎","〇〇会","2025-06-10","60","","","ペット同行避難の受入体制の整備状況について、飼育スペースの確保及び受入基準の明確化に向けた市の取組について問う","受入基準の明確化","飼育スペースの確保","事前登録制度の導入","","","〇〇課","","3","8/29 22:38","〇〇部〇〇課","〇〇 〇〇","ペット同行避難については、モデル避難所において飼育スペースを試行的に設置しており、令和8年度中に受入基準を策定し全避難所へ展開する予定です。事前登録制度についても、関係団体と協議のうえ導入を検討してまいります。","","","","","",""
"R0702010101010100","1","〇〇 一郎","〇〇会","2025-06-10","60","","","","","","","","","","","","8/29 22:38","","","","1","モデル避難所での試行結果と、全避難所展開の具体的なスケジュールについて再質問する。","〇〇部〇〇課","","",""
"R0702010101010101","1","〇〇 一郎","〇〇会","2025-06-10","60","","","","","","","","","","","","8/29 22:38","","","","1","モデル避難所での試行結果と、全避難所展開の具体的なスケジュールについて再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","モデル避難所2箇所での試行結果を踏まえ、令和8年度上半期に基準を策定し、下半期から順次全避難所へ展開する予定です。"
"R0702010101020000","1","〇〇 一郎","〇〇会","2025-06-10","60","","","福祉避難所の指定状況と、開設までに要する時間及び専門職の配置計画について問う","開設までの所要時間","専門職の配置計画","民間施設との協定拡大","","","〇〇課","","4","8/29 22:38","〇〇部〇〇課","〇〇 〇〇","福祉避難所は現在12施設を指定しており、災害発生から概ね2日以内の開設を目標としています。専門職の配置については、関係団体との協定に基づき派遣要請を行う体制を整えています。","","","","","",""
"R0702010102000000","1","〇〇 一郎","〇〇会","2025-06-10","60","","備蓄物資の品目及び数量の見直しと、分散備蓄の推進について","","","","","","","","","5","8/29 22:38","","","","","","","","",""
"R0702010102010000","1","〇〇 一郎","〇〇会","2025-06-10","60","","","乳児用液体ミルク、アレルギー対応食、生理用品等の備蓄状況と更新サイクルについて問う","液体ミルクの備蓄拡大","生理用品の常時備蓄","更新サイクルの見直し","","","〇〇課","","6","8/29 22:38","〇〇部〇〇課","〇〇 〇〇","液体ミルク及び生理用品については、避難所運営マニュアルの改定に合わせ備蓄量を倍増しました。更新サイクルは3年を目安とし、期限が近い物資はフードバンク等へ提供しています。","","","","","",""
"R0702010102020000","1","〇〇 一郎","〇〇会","2025-06-10","60","","","指定避難所ごとの備蓄倉庫の配置状況と、浸水想定区域内倉庫の移設検討について問う","浸水想定区域内倉庫の把握","移設・かさ上げの年次計画","","","","〇〇課","","7","8/29 22:38","","","","","","","","",""
"R0702010200000000","1","〇〇 一郎","〇〇会","2025-06-10","60","地域防災力の向上に向けた自主防災組織の活性化及び防災教育の充実について","","","","","","","","","","8","8/29 22:38","","","","","","","","",""
"R0702010201000000","1","〇〇 一郎","〇〇会","2025-06-10","60","","自主防災組織の結成率及び活動の担い手不足への対応について","","","","","","","","","9","8/29 22:38","","","","","","","","",""
