"#META","7","2","2025-06-10","2025-06-13","perDay","4","dayBase","2025-06-10","skipWeekend","1","dayEx","{}","dayDates","{}","printSel","{""1|〇〇 一郎|〇〇会"":true,""2|〇〇 二郎|〇〇党"":true,""3|〇〇 三郎|〇〇の会"":true,""4|〇〇 四郎|〇〇クラブ"":true}","city","〇〇市"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻"
"R070201010000","1","〇〇 一郎","〇〇会","6月10日(火)","60","近年頻発する大規模地震及び激甚化する風水害に備えた、災害に強いまちづくりの推進と、指定避難所の運営体制の抜本的な見直しを含む総合的な防災・減災対策の推進について","","","","","","","","","〇〇課 〇〇","1","8/27 22:11"
"R070201010100","1","〇〇 一郎","〇〇会","6月10日(火)","60","","指定避難所及び福祉避難所における運営体制の現状と、高齢者、障がいのある方、乳幼児を伴う世帯などの要配慮者に対する支援のあり方について","","","","","","","","〇〇課 〇〇","2","8/27 22:11"
"R070201010101","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","ペット同行避難の受入体制の整備状況について、飼育スペースの確保、受入基準及び運用ルールの明確化、飼い主への事前周知の徹底並びに近隣自治体の先進事例を踏まえた本市の今後の取組方針について問う","受入基準の明確化","飼育スペースの確保","事前登録制度の導入","運営マニュアルへの明記","飼い主への周知徹底","〇〇課","〇〇課 〇〇","3","8/27 22:11"
"R070201010102","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","福祉避難所の指定状況と、災害発生から開設までに要する時間、受入可能人数、専門職の配置計画及び民間福祉施設との協定締結の進捗状況について問う","開設までの所要時間","専門職の配置計画","民間施設との協定拡大","","","〇〇課","〇〇課 〇〇","4","8/27 22:11"
"R070201010103","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","避難所運営マニュアルの改訂状況と、女性の視点を取り入れた運営体制の構築、更衣室及び授乳スペースの確保並びに性被害防止のための巡回体制の整備について問う","女性職員の配置","更衣室・授乳室の確保","巡回体制の整備","相談窓口の設置","","〇〇課","〇〇課 〇〇","5","8/27 22:11"
"R070201010200","1","〇〇 一郎","〇〇会","6月10日(火)","60","","備蓄物資の品目及び数量の見直しと、分散備蓄の推進並びに流通備蓄協定の拡充について","","","","","","","","〇〇課 〇〇","6","8/27 22:11"
"R070201010201","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","乳児用液体ミルク、アレルギー対応食、生理用品、紙おむつ等の備蓄状況と、備蓄品の更新サイクル及び期限切れが近い物資の有効活用策について問う","液体ミルクの備蓄拡大","アレルギー対応食の確保","生理用品の常時備蓄","更新サイクルの見直し","フードバンクへの提供","〇〇課","〇〇課 〇〇","7","8/27 22:11"
"R070201010202","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","指定避難所ごとの備蓄倉庫の配置状況と、浸水想定区域内に設置されている倉庫の移設又はかさ上げの検討状況について問う","浸水想定区域内倉庫の把握","移設・かさ上げの年次計画","","","","〇〇課","〇〇課 〇〇","8","8/27 22:11"
"R070201020000","1","〇〇 一郎","〇〇会","6月10日(火)","60","〇〇市デジタル・トランスフォーメーション推進計画の進捗状況と、市民の利便性向上及び行政事務の効率化に向けた今後の取組について","","","","","","","","","〇〇課 〇〇","9","8/27 22:11"
"R070201020100","1","〇〇 一郎","〇〇会","6月10日(火)","60","","行政手続のオンライン化の進捗と、いわゆる「書かない窓口」の導入に向けた検討状況について","","","","","","","","〇〇課 〇〇","10","8/27 22:11"
