"#META","7","2","2025-06-10","2025-06-13","perDay","4","dayBase","2025-06-10","skipWeekend","1","dayEx","{}","dayDates","{}","printSel","{""5|〇〇 五郎|〇〇会"":true,""6|〇〇 六子|〇〇党"":true,""7|〇〇 七海|〇〇の会"":true,""8|〇〇 八郎|〇〇クラブ"":true}","city","〇〇市"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻"
"R070205010000","5","〇〇 五郎","〇〇会","6月11日(水)","60","学校教育の充実と、いじめ・不登校への対応の強化について","","","","","","","","","〇〇部 〇〇","51","8/27 22:11"
"R070205010100","5","〇〇 五郎","〇〇会","6月11日(水)","60","","不登校児童生徒への支援体制の整備について","","","","","","","","〇〇部 〇〇","52","8/27 22:11"
"R070205010101","5","〇〇 五郎","〇〇会","6月11日(水)","60","","","教育支援センターの設置状況と受入人数、オンラインによる学習支援の実施状況について問う","受入人数の推移","オンライン支援の拡充","","","","〇〇課","〇〇部 〇〇","53","8/27 22:11"
"R070205010102","5","〇〇 五郎","〇〇会","6月11日(水)","60","","","校内教育支援センター（スペシャルサポートルーム）の設置校数と、今後の全校配置に向けた計画について問う","設置校数の推移","全校配置の時期","支援員の確保","","","〇〇課","〇〇部 〇〇","54","8/27 22:11"
"R070205010200","5","〇〇 五郎","〇〇会","6月11日(水)","60","","いじめの重大事態への対応と、第三者委員会の運営について","","","","","","","","〇〇部 〇〇","55","8/27 22:11"
"R070205010201","5","〇〇 五郎","〇〇会","6月11日(水)","60","","","過去三年間のいじめ認知件数の推移と、重大事態に至った事案における初期対応の検証結果について問う","認知件数の推移","初期対応の検証","","","","〇〇課","〇〇部 〇〇","56","8/27 22:11"
"R070205010300","5","〇〇 五郎","〇〇会","6月11日(水)","60","","学校施設の環境整備について","","","","","","","","〇〇部 〇〇","57","8/27 22:11"
"R070205010301","5","〇〇 五郎","〇〇会","6月11日(水)","60","","","体育館への空調設備の設置計画と、避難所としての機能強化を含めた整備の考え方について問う","設置計画の年次","避難所機能の強化","","","","〇〇課","〇〇部 〇〇","58","8/27 22:11"
"R070206010000","6","〇〇 六子","〇〇党","6月11日(水)","20","市長の政治姿勢と次期総合計画の策定方針について","","","策定スケジュール","市民参画の手法","前計画の総括","","","〇〇課","〇〇課 〇〇","59","8/27 22:11"
"R070207010000","7","〇〇 七海","〇〇の会","6月11日(水)","40","脱炭素社会の実現に向けたゼロカーボンシティ宣言後の具体的取組について","","","","","","","","","〇〇課 〇〇","60","8/27 22:11"
"R070207010100","7","〇〇 七海","〇〇の会","6月11日(水)","40","","公共施設への再生可能エネルギー導入の進捗について","","太陽光発電の設置実績","PPAモデルの活用","","","","〇〇課","〇〇課 〇〇","61","8/27 22:11"
"R070207010200","7","〇〇 七海","〇〇の会","6月11日(水)","40","","家庭向け省エネ設備導入補助の利用状況について","","補助件数の推移","補助メニューの拡充","","","","〇〇課","〇〇課 〇〇","62","8/27 22:11"
"R070208010000","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","中心市街地の活性化と、〇〇駅周辺のまちづくりの推進について","","","","","","","","","〇〇部 〇〇","63","8/27 22:11"
"R070208010100","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","","〇〇駅前の再開発事業の進捗状況と、事業スケジュールの見通しについて","","","","","","","","〇〇部 〇〇","64","8/27 22:11"
"R070208010101","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","","","再開発準備組合との協議状況と、権利者の合意形成の進捗、事業費の増嵩に対する市の負担の考え方について問う","合意形成の進捗","事業費増嵩への対応","市の負担割合","","","〇〇部","〇〇部 〇〇","65","8/27 22:11"
"R070208010102","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","","","駅前広場のバリアフリー化及び交通結節機能の強化に向けた整備方針について問う","バリアフリー化の内容","バス・タクシー動線","","","","〇〇部","〇〇部 〇〇","66","8/27 22:11"
"R070208010200","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","","空き店舗の増加に対する対策と、新規出店者への支援について","","","","","","","","〇〇部 〇〇","67","8/27 22:11"
"R070208010201","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","","","空き店舗を活用した創業支援補助金の交付実績と、開業後の継続率及び伴走支援の実施状況について問う","交付実績と継続率","伴走支援の内容","","","","〇〇部","〇〇部 〇〇","68","8/27 22:11"
"R070208020000","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","上下水道事業の経営健全化と、老朽管路の更新について","","","","","","","","","〇〇部 〇〇","69","8/27 22:11"
"R070208020100","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","","水道管の耐震化及び更新の進捗状況について","","","","","","","","〇〇部 〇〇","70","8/27 22:11"
"R070208020101","8","〇〇 八郎","〇〇クラブ","6月11日(水)","55","","","基幹管路の耐震適合率の推移と、更新計画の前倒しに必要な財源の確保策について問う","耐震適合率の推移","更新計画の前倒し","財源確保策","","","〇〇部","〇〇部 〇〇","71","8/27 22:11"
