"#META","7","2","2025-06-10","2025-06-13","perDay","4","dayBase","2025-06-10","skipWeekend","1","dayEx","{}","dayDates","{}","printSel","{""9|〇〇 九美|〇〇会"":true,""10|〇〇 十郎|〇〇党"":true,""11|〇〇 十一|〇〇の会"":true,""12|〇〇 十二|〇〇クラブ"":true}","city","〇〇市"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻"
"R070209010000","9","〇〇 九美","〇〇会","6月12日(木)","35","女性の活躍推進と、男女共同参画のさらなる推進について","","","","","","","","","〇〇課 〇〇","72","8/27 22:11"
"R070209010100","9","〇〇 九美","〇〇会","6月12日(木)","35","","市職員における女性管理職の登用状況について","","登用率の推移","目標値の設定","","","","〇〇課","〇〇課 〇〇","73","8/27 22:11"
"R070209010200","9","〇〇 九美","〇〇会","6月12日(木)","35","","各種審議会等における女性委員の比率について","","委員比率の現状","改善に向けた方策","","","","〇〇課","〇〇課 〇〇","74","8/27 22:11"
"R070210010000","10","〇〇 十郎","〇〇党","6月12日(木)","45","健康寿命の延伸に向けた保健事業の充実について","","","","","","","","","〇〇部 〇〇","75","8/27 22:11"
"R070210010100","10","〇〇 十郎","〇〇党","6月12日(木)","45","","各種がん検診の受診率向上に向けた取組について","","","","","","","","〇〇部 〇〇","76","8/27 22:11"
"R070210010101","10","〇〇 十郎","〇〇党","6月12日(木)","45","","","個別勧奨・再勧奨の実施状況と、受診率が低迷している検診項目に対する重点的な取組について問う","受診率の推移","個別勧奨の効果","休日検診の拡充","","","〇〇課","〇〇部 〇〇","77","8/27 22:11"
"R070210010200","10","〇〇 十郎","〇〇党","6月12日(木)","45","","国民健康保険の保健事業と介護予防の一体的実施について","","","","","","","","〇〇部 〇〇","78","8/27 22:11"
"R070210010201","10","〇〇 十郎","〇〇党","6月12日(木)","45","","","ハイリスク者の抽出方法と、専門職による訪問指導の実施件数について問う","対象者の抽出方法","訪問指導の実績","","","","〇〇課","〇〇部 〇〇","79","8/27 22:11"
"R070211010000","11","〇〇 十一","〇〇の会","6月12日(木)","25","市営住宅の適正な管理と、住宅セーフティネットの充実について","","","","","","","","","〇〇課 〇〇","80","8/27 22:11"
"R070211010100","11","〇〇 十一","〇〇の会","6月12日(木)","25","","市営住宅の空室状況と入居手続の簡素化について","","空室の推移","入居手続の簡素化","","","","〇〇課","〇〇課 〇〇","81","8/27 22:11"
"R070212010000","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","市民協働のまちづくりの推進と、自治会・町内会の担い手不足への対応について","","","","","","","","","〇〇課 〇〇","82","8/27 22:11"
"R070212010100","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","自治会加入率の低下に対する市の認識と支援策について","","","","","","","","〇〇課 〇〇","83","8/27 22:11"
"R070212010101","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","過去十年間の自治会加入率の推移と、加入促進に向けた転入時の案内、集合住宅管理会社との連携の状況について問う","加入率の推移","転入時の案内","管理会社との連携","","","〇〇課","〇〇課 〇〇","84","8/27 22:11"
"R070212010102","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","自治会が担っている行政協力業務の内容を精査し、負担軽減を図る考えについて問う","協力業務の棚卸し","負担軽減の方策","","","","〇〇課","〇〇課 〇〇","85","8/27 22:11"
"R070212010200","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","地域活動のデジタル化支援について","","","","","","","","〇〇課 〇〇","86","8/27 22:11"
"R070212010201","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","回覧板の電子化やオンライン会議の導入に対する支援の実施状況と、デジタルに不慣れな役員への配慮について問う","電子回覧板の導入","役員への操作支援","","","","〇〇課","〇〇課 〇〇","87","8/27 22:11"
"R070212020000","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","公園及び緑地の管理と、子どもの遊び場の確保について","","","","","","","","","〇〇課 〇〇","88","8/27 22:11"
"R070212020100","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","既存公園の遊具の老朽化対策とインクルーシブ遊具の導入について","","","","","","","","〇〇課 〇〇","89","8/27 22:11"
"R070212020101","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","遊具の点検結果に基づく更新計画と、障がいの有無にかかわらず利用できるインクルーシブ遊具の導入に向けた検討状況について問う","点検結果と更新計画","インクルーシブ遊具の導入","整備候補公園","","","〇〇課","〇〇課 〇〇","90","8/27 22:11"
"R070212020102","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","公園におけるボール遊びの可否に関するルールづくりと、近隣住民との合意形成の進め方並びに時間帯を区切った試行実施の可能性について問う","ルールづくりの状況","住民合意の進め方","試行実施の可能性","","","〇〇課","〇〇課 〇〇","91","8/27 22:11"
"R070212020200","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","公園の維持管理における市民協働の推進について","","","","","","","","〇〇課 〇〇","92","8/27 22:11"
"R070212020201","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","公園愛護会の活動状況と、担い手の高齢化に対する支援策及び活動報奨金の見直しの考え方について問う","愛護会の活動実績","担い手不足への支援","報奨金の見直し","","","〇〇課","〇〇課 〇〇","93","8/27 22:11"
"R070212030000","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","窓口サービスの向上と、市役所の働き方改革の推進について","","","","","","","","","〇〇課 〇〇","94","8/27 22:11"
"R070212030100","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","繁忙期における窓口混雑の緩和と、待ち時間の短縮に向けた取組について","","","","","","","","〇〇課 〇〇","95","8/27 22:11"
"R070212030101","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","転入・転出が集中する三月から四月における待ち時間の実績と、事前予約制の導入、臨時窓口の開設及び休日開庁の実施状況について問う","待ち時間の実績","事前予約制の導入","臨時窓口の開設","休日開庁の実施","","〇〇課","〇〇課 〇〇","96","8/27 22:11"
"R070212030102","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","窓口における手続案内の一元化と、複数の課にまたがる手続をワンストップで完了できる体制の構築について問う","案内の一元化","ワンストップ化の範囲","","","","〇〇課","〇〇課 〇〇","97","8/27 22:11"
"R070212030200","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","職員の時間外勤務の縮減と、メンタルヘルス対策の充実について","","","","","","","","〇〇課 〇〇","98","8/27 22:11"
"R070212030201","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","過去三年間の一人当たり時間外勤務時間数の推移と、特に長時間となっている部署に対する応援体制及び業務の外部委託の検討状況について問う","時間外勤務の推移","応援体制の整備","外部委託の検討","","","〇〇課","〇〇課 〇〇","99","8/27 22:11"
"R070212030202","12","〇〇 十二","〇〇クラブ","6月12日(木)","60","","","ストレスチェックの受検率及び高ストレス者への面接指導の実施状況と、休職者の復職支援プログラムの整備について問う","受検率と面接実施率","復職支援の体制","","","","〇〇課","〇〇課 〇〇","100","8/27 22:11"
